iter	RMSE
0	1.296405414
1	1.275201019
2	1.255053187
3	1.23545698
4	1.216677646
5	1.198877568
6	1.181206016
7	1.164394911
8	1.148554102
9	1.132941985
10	1.117161692
11	1.102570807
12	1.088258098
13	1.075153527
14	1.062163619
15	1.049748691
16	1.038282854
17	1.027119184
18	1.016301673
19	1.005879348
20	0.995274478
21	0.9854352554
22	0.9760828899
23	0.9670242155
24	0.9584590446
25	0.9501055612
26	0.9422045006
27	0.9347904203
28	0.9276699371
29	0.9208939925
30	0.914139683
31	0.9074613023
32	0.901011212
33	0.8948706984
34	0.8893697262
35	0.883870611
36	0.8783526491
37	0.873485528
38	0.8687395146
39	0.8641658803
40	0.8596063368
41	0.8550354289
42	0.8508962673
43	0.8468793341
44	0.8432621513
45	0.8395316894
46	0.8360890206
47	0.8326740244
48	0.8294410437
49	0.8262007364
50	0.8232375678
51	0.820354059
52	0.8176435441
53	0.8148755524
54	0.8125313425
55	0.809934147
56	0.8075596728
57	0.805340932
58	0.803152453
59	0.8011914698
60	0.7991019412
61	0.7973078573
62	0.7953210876
63	0.7935854058
64	0.7917901291
65	0.7899890027
66	0.7884449024
67	0.7868554067
68	0.7854524196
69	0.7840384206
70	0.782586419
71	0.7812655517
72	0.7799850349
73	0.778810026
74	0.7775729561
75	0.7764486615
76	0.775509408
77	0.7743649813
78	0.7732381324
79	0.7721636698
80	0.771112854
81	0.7702201736
82	0.769345775
83	0.7683795891
84	0.7676029381
85	0.7667496803
86	0.766010154
87	0.7653186092
88	0.7646393306
89	0.7639100307
90	0.7631512263
91	0.7624024422
92	0.761728432
93	0.7610840459
94	0.7603751397
95	0.7598004883
96	0.7592354173
97	0.75861589
98	0.7581259257
99	0.7575678566
100	0.7570124122
101	0.7565790592
102	0.7561646218
103	0.7556165032
104	0.7551969749
105	0.754685813
106	0.7543317937
107	0.7538894404
108	0.7534759483
109	0.7530701497
110	0.7526758538
111	0.752250233
112	0.7518693986
113	0.7514412918
114	0.7510530568
115	0.7507331995
116	0.7504001839
117	0.7500494731
118	0.7496054286
119	0.7492417021
120	0.7489224389
121	0.748600987
122	0.7482626167
123	0.7479044963
124	0.7476547351
125	0.7473792563
126	0.7470417011
127	0.7466268767
128	0.7463063309
129	0.7459973593
130	0.7457343524
131	0.7454683274
132	0.7451354742
133	0.7448749757
134	0.7445209186
135	0.7442331376
136	0.7440351589
137	0.7438357214
138	0.7435386986
139	0.7432906606
140	0.7431184045
141	0.7428453687
142	0.7425966379
143	0.7424113556
144	0.7422177089
145	0.7419530079
146	0.7415849487
147	0.7411572953
148	0.741010647
149	0.7408028218
150	0.7406032167
151	0.7404637826
152	0.7402391994
153	0.7400426881
154	0.7396872283
155	0.7394235129
156	0.7391336306
157	0.7386942039
158	0.738442958
159	0.7381801717
160	0.7379519942
161	0.7377585516
162	0.7374418059
163	0.7371992702
164	0.736936589
165	0.7367275901
166	0.7365224105
167	0.7362315905
168	0.73596665
169	0.7355918421
170	0.7353670927
171	0.7349732273
172	0.7348115903
173	0.7346403773
174	0.7344342012
175	0.7342238846
176	0.7340064929
177	0.7338860734
178	0.7335828524
179	0.7332337122
180	0.7329655118
181	0.7327204527
182	0.7323429577
183	0.7321929593
184	0.7320219282
185	0.7318379109
186	0.7316333448
187	0.73133923
188	0.7310810725
189	0.7308508492
190	0.730582884
191	0.7304383103
192	0.7302755116
193	0.7300686634
194	0.7298887343
195	0.7297564485
196	0.7296394847
197	0.7294946718
198	0.7293443018
199	0.7291894695
200	0.7290278669
201	0.7288649423
202	0.7287003769
203	0.7284763117
204	0.7283850057
205	0.7282731437
206	0.7281137176
207	0.7279324936
208	0.72766646
209	0.7275807683
210	0.7274531077
211	0.7272219485
212	0.7270077148
213	0.7268736948
214	0.7266442391
215	0.7265047123
216	0.7262273307
217	0.7260387898
218	0.7258903182
219	0.7258052842
220	0.7256211768
221	0.7255286184
222	0.725324171
223	0.7250792878
224	0.7249465608
225	0.7248304219
226	0.7245551713
227	0.7243799422
228	0.7242227053
229	0.7239942618
230	0.7238483238
231	0.7237002734
232	0.7235114869
233	0.7234000679
234	0.723246081
235	0.7230996757
236	0.7229257714
237	0.7227397129
238	0.7226279148
239	0.7224834409
240	0.7224114414
241	0.7222992828
242	0.7220557572
243	0.7219300215
244	0.7218161828
245	0.7216386174
246	0.7215563613
247	0.7213253689
248	0.7210822881
249	0.7208616954
250	0.7207567586
251	0.7206132323
252	0.7203773747
253	0.7202771566
254	0.7200962579
255	0.7198599269
256	0.719712086
257	0.719488131
258	0.7193009717
259	0.7191133488
260	0.7189314317
261	0.7188587453
262	0.7186536094
263	0.7185357538
264	0.7184337037
265	0.7183197431
266	0.7182043575
267	0.7181088528
268	0.7180213443
269	0.7179120326
